Time,ueId,assoCell,compCell,taskCount, upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
2,11,3,6,5,1.225,0.110512,1.125,1.41071,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,17.5707,6.46183,10.2136,23.4636,
2,14,5,6,8,1.09152,0.183959,1,1.5,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,6.56847,6.83635,2.99927,22.91,
2,17,6,6,7,1.19643,0.116186,1.03571,1.28571,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,0,4.43622,0.732133,3.5,5.39286,
2,19,6,6,7,1.33163,0.283259,1,1.76786,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,0,4.2602,0.878023,3.16072,5.64286,
2.1,4,3,7,2,2.20634,0.0631354,2.1617,2.25098,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,116.007,14.1548,105.998,126.016,
2.1,16,5,8,6,1.19443,0.00729009,1.17955,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,6.75678,1.50356,5.46214,9.49785,
2.1,3,2,9,6,1.20336,0.127108,1.0367,1.42955,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.35202,0.878268,2.94428,5.14071,
2.1,2,4,2,6,1.20536,0.0915777,1.125,1.375,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,4.70463,1.21894,2.90998,5.92784,
2.1,7,3,2,6,1.35714,0.105342,1.14286,1.41071,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,5.73141,2.4491,2.62427,8.1957,
2.1,8,3,2,6,1.35417,0.308968,1.16071,1.94643,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,6.87427,3.1416,2.62427,9.24927,
2.1,9,2,2,6,1.33631,0.00729009,1.32143,1.33929,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,3.52083,1.92315,2.73214,7.44643,
2.1,10,4,4,6,1.34821,0.209393,1.08929,1.58929,0,0,0,0,0,0,0,0,7.33333,0.816497,7,9,0,0,0,0,5.05655,1.88033,2.73214,6.75,
2.1,12,4,4,2,1.10714,0,1.10714,1.10714,0,0,0,0,0,0,0,0,8,1.41421,7,9,0,0,0,0,8.42857,7.42462,3.17857,13.6786,
2.1,13,5,4,8,1.30803,0.113241,1.125,1.375,0.500009,0,0.500009,0.500009,0,0,0,0,7.5,0.92582,7,9,0.50072,0,0.50072,0.50072,7.8765,7.38837,2.74927,24.5707,
2.1,15,5,5,6,1.375,0.332354,0.910713,1.91071,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,24.8304,11.0136,9.66071,36.8214,
2.1,1,2,6,7,1.22959,0.169542,0.892856,1.39286,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,3.48141,1.70109,2.64213,7.28498,
2.1,11,3,6,6,1.33036,0.304044,0.910713,1.66071,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,10.2463,5.32852,4.48141,19.8921,
2.1,14,5,6,5,1.6,0.285044,1.25,2,0.500009,0,0.500009,0.500009,0,0,0,0,12,0,12,12,0.50072,0,0.50072,0.50072,6.20641,2.0011,3.46356,7.98141,
2.1,17,6,6,6,1.16667,0.0291604,1.10714,1.17857,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,0,3.86905,0.0291604,3.85714,3.92857,
2.1,19,6,6,6,1.26786,0,1.26786,1.26786,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,0,3.47917,0.00729009,3.46429,3.48214,
2.2,12,2,7,8,3.02257,5.24501,1.09027,16.001,1.625,3.00892,0,6.5,0.113839,0.321986,0,0.910713,5.75,2.31455,2,7,1.62529,3.00945,0,6.50116,48.8812,32.2083,2.71214,87.8036,
2.2,10,4,9,4,1.26859,0.234223,1.00098,1.57143,8.625,5.75,0,11.5,0,0,0,0,3.25,2.5,2,7,8.62587,5.75058,0,11.5012,8.88678,4.13369,2.75,11.6764,
2.2,4,2,2,11,1.3823,0.322944,1.12598,2.1617,5.31818,2.62938,0,6.5,0,0,0,0,3.27273,2.83164,2,9,5.31913,2.62985,0,6.50116,78.6395,50.0076,4.32143,173.659,
2.2,8,3,2,5,3.74643,5.59298,1.17857,13.75,0.500009,0,0.500009,0.500009,1.11071,2.48363,0,5.55357,9,0,9,9,0.50072,0,0.50072,0.50072,19.1207,16.9585,2.9457,42.8743,
2.2,13,5,2,5,1.15357,0.0958316,0.982143,1.19643,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,3.95998,0.408261,3.65998,4.65998,
2.2,17,6,2,5,1.19286,0.00798589,1.17857,1.19643,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,2.73499,0.00798589,2.73141,2.74927,
2.2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.2,9,4,3,1,1.33929,0,1.33929,1.33929,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,2.73214,0,2.73214,2.73214,
2.2,14,5,3,7,1.09439,0.0914697,1,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,8.42857,2.43975,7,12,0.50072,0,0.50072,0.50072,5.42784,6.08899,3.03498,19.2314,
2.2,3,2,4,6,1.0954,0.114051,0.946427,1.19741,2.33334,4.49073,0.500009,11.5,0,0,0,0,6.16667,2.04124,2,7,2.33413,4.49091,0.50072,11.5012,4.91868,1.7676,2.73141,6.64213,
2.2,7,3,4,6,1.29464,0.132552,1.125,1.41071,0.500009,0,0.500009,0.500009,0,0,0,0,7.33333,0.816497,7,9,0.50072,0,0.50072,0.50072,5.28499,1.71566,2.98141,7.39213,
