Time,ueId,assoCell,compCell,taskCount, upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
1.8,3,2,9,6,1.20039,0.136658,1.0367,1.44741,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.512,0.0265419,11.5012,11.5662,3.60011,0.507778,2.99785,4.23,
1.8,7,3,2,7,1.06888,0.126449,0.910713,1.17857,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,7.98907,0.433486,7.15999,8.39213,
1.8,9,4,2,9,1.44444,0.480523,1,2,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,32.039,18.7955,6.96356,62.2493,
1.8,11,3,2,6,1.1994,0.0980789,1,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,8.22249,0.569948,7.42784,8.87427,
1.8,20,6,2,6,1.04464,0.0218703,1.03571,1.08929,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,4.53499,0.115727,4.4457,4.76713,
1.8,14,5,3,7,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2.28571,0.755929,2,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.8,2,4,4,6,1.27976,0.0729009,1.25,1.42857,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2.91667,0.0351145,2.875,2.98214,
1.8,19,6,5,6,1.23214,0,1.23214,1.23214,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,5.21058,0.126983,5.12427,5.37427,
1.9,7,3,7,4,1.27306,0.28033,1.0367,1.67955,5,3,0.500009,6.5,0,0,0,0,5.25,2.5,4,9,5.00105,3.00022,0.50072,6.50116,7.07857,2.31957,5.01713,10.1764,
1.9,14,5,7,4,1.07241,0,1.07241,1.07241,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50402,0.0057205,6.50116,6.5126,5.39678,0.635191,4.65857,6.02213,
1.9,1,2,8,4,1.67063,0.716143,1.23313,2.73313,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,8.48,1.87066,5.87286,9.99785,
1.9,8,3,9,4,1.25991,0.268253,1.01884,1.64384,10.25,2.5,6.5,11.5,0,0,0,0,4,0,4,4,10.2512,2.5,6.50116,11.5012,7.56482,2.28089,6.05143,10.9264,
1.9,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.9,12,4,2,6,1.38988,0.260595,1.21429,1.89286,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,3.5707,1.17895,2.73141,5.46356,
