Time,ueId,assoCell,compCell,taskCount,succCount,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
3.4,4,3,5,5,5,1.1617,0.0798589,1.01884,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.78357,0.0798589,2.74785,2.92642,
3.4,3,3,6,4,4,1.01884,0,1.01884,1.01884,10.25,2.5,6.5,11.5,0,0,0,0,2.5,1,2,4,10.2512,2.5,6.50116,11.5012,2.90857,0,2.90857,2.90857,
3.4,1,2,3,5,5,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
3.5,4,3,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74785,0,2.74785,2.74785,
3.5,3,3,6,7,7,1.01884,0,1.01884,1.01884,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,2.90857,0,2.90857,2.90857,
3.5,1,2,3,6,6,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
3.6,4,3,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74785,0,2.74785,2.74785,
3.6,3,3,6,6,6,1.01884,0,1.01884,1.01884,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,2.90857,0,2.90857,2.90857,
3.7,4,3,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74488,0.00729009,2.73,2.74785,
3.7,2,3,6,3,0,1.0367,0,1.0367,1.0367,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.14071,0,3.14071,3.14071,
3.7,3,3,2,6,6,1.16964,0.0880261,1.08929,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.81177,0.0880261,2.73141,2.89213,
3.8,4,3,5,7,7,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74785,0,2.74785,2.74785,
3.8,2,3,6,6,1,1.06348,0.0656108,1.0367,1.19741,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.11392,0.0656108,2.98,3.14071,
3.8,3,3,2,6,6,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.7701,0.094772,2.73141,2.96356,
3.9,4,3,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74785,0,2.74785,2.74785,
3.9,2,3,6,7,0,1.0367,0,1.0367,1.0367,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.14071,0,3.14071,3.14071,
3.9,3,3,2,6,6,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.73141,0,2.73141,2.73141,
4,2,2,6,6,0,1.02479,0.00922132,1.01884,1.0367,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,4.05738,0.195507,3.65857,4.14071,
4,3,3,2,7,7,1.09949,0.066701,1.07143,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,3.71429,0.755929,2,4,0.50072,0,0.50072,0.50072,2.88192,0.066701,2.73141,2.90998,
4,4,3,2,5,5,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
4.1,2,2,6,6,6,1.01884,0,1.01884,1.01884,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,2.90857,0,2.90857,2.90857,
4.1,3,3,2,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
4.1,4,3,2,6,6,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
4.2,2,2,6,6,0,1.01884,0,1.01884,1.01884,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.24488,0.211414,3.15857,3.67642,
4.2,3,3,2,6,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
4.2,4,3,2,6,6,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
4.3,2,3,4,5,4,1.21884,0.111803,1.01884,1.26884,7.5,2.23607,6.5,11.5,0,0,0,0,3.6,0.894427,2,4,7.50116,2.23607,6.50116,11.5012,3.27285,0.063888,3.15857,3.30143,
4.3,3,3,4,6,6,1.02761,0.0214694,1.01884,1.07143,5.5,2.44949,0.500009,6.5,0,0,0,0,4,0,4,4,5.50109,2.44967,0.50072,6.50116,3.3969,0.377711,2.90857,3.64071,
4.3,4,3,3,6,6,1.01786,0,1.01786,1.01786,0.0833348,0.204128,0,0.500009,0,0,0,0,2.33333,0.816497,2,4,0.0834533,0.204418,0,0.50072,2.91059,0.000297613,2.90998,2.91071,
4.4,2,3,4,6,6,1.26884,0,1.26884,1.26884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,3.30143,0,3.30143,3.30143,
4.4,3,3,4,6,6,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,3.64071,0,3.64071,3.64071,
4.4,4,3,3,6,6,1.01786,0,1.01786,1.01786,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2.91071,0,2.91071,2.91071,
4.5,2,3,4,6,6,1.26884,0,1.26884,1.26884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,3.30143,0,3.30143,3.30143,
4.5,3,3,4,6,6,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,3.64071,0,3.64071,3.64071,
4.5,4,3,3,7,7,1.01786,0,1.01786,1.01786,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2.91071,0,2.91071,2.91071,
4.6,4,3,5,4,4,1.15723,0.0803565,1.0367,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.98446,0.0803565,2.94428,3.105,
